date,store_id,city,sku_id,product_name,actual_demand,predicted_demand,received_qty,opening_inventory,units_sold,lost_sales,ending_inventory,safety_stock,reorder_point,inventory_position,order_qty,optimized_revenue,stockout_flag
2026-05-02,ST003,Mumbai,SKU005,Instant Coffee 100g,33,29.25,0,43,33,0,10,20.29,108.04,10,303,6105.0,False
2026-05-02,ST004,Delhi,SKU001,Shampoo 340ml,21,23.77,0,51,21,0,30,15.8,87.1,30,224,6909.0,False
2026-05-02,ST004,Delhi,SKU002,Bath Soap 100g,46,42.56,0,59,46,0,13,19.19,146.88,13,432,2530.0,False
2026-05-02,ST004,Delhi,SKU003,Laundry Detergent 1kg,35,36.3,0,46,35,0,11,15.5,124.42,11,368,7700.0,False
2026-05-02,ST004,Delhi,SKU004,Dishwash Liquid 500ml,26,30.09,0,53,26,0,27,13.23,103.51,27,288,3250.0,False
2026-05-02,ST004,Delhi,SKU005,Instant Coffee 100g,21,21.98,0,17,17,4,0,12.36,78.31,0,233,3145.0,True
2026-05-02,ST005,Hyderabad,SKU001,Shampoo 340ml,21,23.39,0,44,21,0,23,13.25,83.42,23,225,6909.0,False
2026-05-02,ST005,Hyderabad,SKU002,Bath Soap 100g,40,40.3,0,61,40,0,21,16.45,137.35,21,399,2200.0,False
2026-05-02,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,38,33.47,0,60,38,0,22,23.12,123.52,22,336,8360.0,False
2026-05-02,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,38,28.45,0,52,38,0,14,16.15,101.49,14,287,4750.0,False
2026-05-02,ST005,Hyderabad,SKU005,Instant Coffee 100g,25,21.52,0,43,25,0,18,14.83,79.39,18,213,4625.0,False
2026-05-03,ST001,Chennai,SKU001,Shampoo 340ml,37,34.0,0,30,30,7,0,16.17,118.16,271,0,8389.5,True
2026-05-03,ST001,Chennai,SKU002,Bath Soap 100g,44,45.09,0,27,27,17,0,23.95,159.23,488,0,1485.0,True
2026-05-03,ST001,Chennai,SKU003,Laundry Detergent 1kg,27,38.55,0,55,27,0,28,19.96,135.6,374,0,5940.0,False
2026-05-03,ST001,Chennai,SKU004,Dishwash Liquid 500ml,39,33.1,0,15,15,24,0,16.85,116.14,365,0,1875.0,True
2026-05-03,ST001,Chennai,SKU005,Instant Coffee 100g,21,23.17,0,10,10,11,0,15.74,85.26,244,0,1850.0,True
2026-05-03,ST002,Bengaluru,SKU001,Shampoo 340ml,28,30.1,0,9,9,19,0,16.08,106.37,308,0,2961.0,True
2026-05-03,ST002,Bengaluru,SKU002,Bath Soap 100g,58,48.39,0,34,34,24,0,17.98,163.14,480,0,1870.0,True
2026-05-03,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,29,37.28,0,26,26,3,0,16.06,127.9,338,0,5720.0,True
2026-05-03,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,38,35.42,0,43,38,0,5,19.36,125.62,342,0,4750.0,False
2026-05-03,ST002,Bengaluru,SKU005,Instant Coffee 100g,25,25.64,0,5,5,20,0,16.58,93.5,257,0,925.0,True
2026-05-03,ST003,Mumbai,SKU001,Shampoo 340ml,41,30.52,0,25,25,16,0,18.35,109.92,288,0,8225.0,True
2026-05-03,ST003,Mumbai,SKU002,Bath Soap 100g,46,50.95,0,42,42,4,0,18.51,171.36,475,0,2310.0,True
2026-05-03,ST003,Mumbai,SKU003,Laundry Detergent 1kg,44,41.9,0,28,28,16,0,22.73,148.42,502,0,6160.0,True
2026-05-03,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,35,34.91,0,29,29,6,0,13.45,118.18,345,0,3625.0,True
2026-05-03,ST003,Mumbai,SKU005,Instant Coffee 100g,27,28.4,0,10,10,17,0,20.62,105.83,303,0,1850.0,True
2026-05-03,ST004,Delhi,SKU001,Shampoo 340ml,25,24.84,0,30,25,0,5,15.7,90.22,229,0,8225.0,False
2026-05-03,ST004,Delhi,SKU002,Bath Soap 100g,40,46.08,0,13,13,27,0,19.51,157.75,432,0,715.0,True
2026-05-03,ST004,Delhi,SKU003,Laundry Detergent 1kg,29,35.45,0,11,11,18,0,15.29,121.65,368,0,2420.0,True
2026-05-03,ST004,Delhi,SKU004,Dishwash Liquid 500ml,26,29.83,0,27,26,0,1,13.18,102.67,289,0,3250.0,False
2026-05-03,ST004,Delhi,SKU005,Instant Coffee 100g,23,21.87,0,0,0,23,0,12.25,77.86,233,0,0.0,True
2026-05-03,ST005,Hyderabad,SKU001,Shampoo 340ml,26,23.3,0,23,23,3,0,13.15,83.05,225,0,7567.0,True
2026-05-03,ST005,Hyderabad,SKU002,Bath Soap 100g,42,41.72,0,21,21,21,0,15.73,140.9,399,0,1155.0,True
2026-05-03,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,23,36.31,0,22,22,1,0,23.2,132.12,336,0,4840.0,True
2026-05-03,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,23,29.44,0,14,14,9,0,17.12,105.45,287,0,1750.0,True
2026-05-03,ST005,Hyderabad,SKU005,Instant Coffee 100g,19,20.41,0,18,18,1,0,14.83,76.06,213,0,3330.0,True
2026-05-04,ST001,Chennai,SKU001,Shampoo 340ml,28,23.59,0,0,0,28,0,16.92,87.7,271,0,0.0,True
2026-05-04,ST001,Chennai,SKU002,Bath Soap 100g,32,42.92,0,0,0,32,0,23.37,152.13,488,0,0.0,True
2026-05-04,ST001,Chennai,SKU003,Laundry Detergent 1kg,40,30.87,0,28,28,12,0,20.41,113.02,346,0,6160.0,True
2026-05-04,ST001,Chennai,SKU004,Dishwash Liquid 500ml,27,29.9,0,0,0,27,0,16.13,105.84,365,0,0.0,True
2026-05-04,ST001,Chennai,SKU005,Instant Coffee 100g,19,21.39,0,0,0,19,0,15.77,79.93,244,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU001,Shampoo 340ml,34,28.66,0,0,0,34,0,15.89,101.87,308,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU002,Bath Soap 100g,47,46.26,0,0,0,47,0,18.59,157.37,480,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,28,33.37,0,0,0,28,0,16.29,116.39,338,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,29,30.49,0,5,5,24,0,19.69,111.18,337,0,625.0,True
2026-05-04,ST002,Bengaluru,SKU005,Instant Coffee 100g,34,26.51,0,0,0,34,0,16.47,96.0,257,0,0.0,True
2026-05-04,ST003,Mumbai,SKU001,Shampoo 340ml,26,26.0,0,0,0,26,0,19.61,97.61,288,0,0.0,True
2026-05-04,ST003,Mumbai,SKU002,Bath Soap 100g,45,44.5,0,0,0,45,0,17.69,151.19,475,0,0.0,True
2026-05-04,ST003,Mumbai,SKU003,Laundry Detergent 1kg,29,37.79,0,0,0,29,0,22.93,136.3,502,0,0.0,True
2026-05-04,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,33,32.54,0,0,0,33,0,13.53,111.14,345,0,0.0,True
2026-05-04,ST003,Mumbai,SKU005,Instant Coffee 100g,27,23.62,0,0,0,27,0,20.44,91.3,303,0,0.0,True
2026-05-04,ST004,Delhi,SKU001,Shampoo 340ml,40,30.33,0,5,5,35,0,15.74,106.73,224,0,1316.0,True
2026-05-04,ST004,Delhi,SKU002,Bath Soap 100g,44,39.1,0,0,0,44,0,19.49,136.8,432,0,0.0,True
2026-05-04,ST004,Delhi,SKU003,Laundry Detergent 1kg,34,30.29,0,0,0,34,0,13.77,104.64,368,0,0.0,True
2026-05-04,ST004,Delhi,SKU004,Dishwash Liquid 500ml,30,25.96,0,1,1,29,0,13.16,91.04,288,0,125.0,True
2026-05-04,ST004,Delhi,SKU005,Instant Coffee 100g,19,19.72,0,0,0,19,0,12.18,71.35,233,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU001,Shampoo 340ml,15,22.35,0,0,0,15,0,13.23,80.27,225,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU002,Bath Soap 100g,33,36.67,0,0,0,33,0,15.58,125.6,399,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,45,32.85,0,0,0,45,0,22.99,121.54,336,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,21,25.98,0,0,0,21,0,15.56,93.5,287,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU005,Instant Coffee 100g,17,19.0,0,0,0,17,0,14.81,71.82,213,0,0.0,True
2026-05-05,ST001,Chennai,SKU001,Shampoo 340ml,28,23.7,271,271,28,0,243,16.57,87.67,243,0,9212.0,False
2026-05-05,ST001,Chennai,SKU002,Bath Soap 100g,50,40.94,488,488,50,0,438,23.01,145.84,438,0,2750.0,False
2026-05-05,ST001,Chennai,SKU003,Laundry Detergent 1kg,33,33.63,346,346,33,0,313,20.6,121.49,313,0,7260.0,False
2026-05-05,ST001,Chennai,SKU004,Dishwash Liquid 500ml,20,35.95,365,365,20,0,345,15.94,123.79,345,0,2250.0,False
2026-05-05,ST001,Chennai,SKU005,Instant Coffee 100g,22,21.17,244,244,22,0,222,15.84,79.34,222,0,4070.0,False
2026-05-05,ST002,Bengaluru,SKU001,Shampoo 340ml,24,25.41,308,308,24,0,284,16.01,92.24,284,0,7896.0,False
2026-05-05,ST002,Bengaluru,SKU002,Bath Soap 100g,48,42.84,480,480,48,0,432,18.28,146.81,432,0,2640.0,False
2026-05-05,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,57,37.15,338,338,57,0,281,16.43,127.88,281,0,10032.0,False
2026-05-05,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,30,31.23,337,337,30,0,307,19.61,113.31,307,0,3750.0,False
2026-05-05,ST002,Bengaluru,SKU005,Instant Coffee 100g,19,22.43,257,257,19,0,238,17.17,84.46,238,0,3515.0,False
2026-05-05,ST003,Mumbai,SKU001,Shampoo 340ml,30,27.01,288,288,30,0,258,19.61,100.63,258,0,9870.0,False
2026-05-05,ST003,Mumbai,SKU002,Bath Soap 100g,47,45.62,475,475,47,0,428,17.73,154.6,428,0,2585.0,False
2026-05-05,ST003,Mumbai,SKU003,Laundry Detergent 1kg,36,37.99,502,502,36,0,466,23.49,137.45,466,0,7920.0,False
2026-05-05,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,28,31.31,345,345,28,0,317,13.38,107.29,317,0,3500.0,False
2026-05-05,ST003,Mumbai,SKU005,Instant Coffee 100g,23,23.23,303,303,23,0,280,19.07,88.77,280,0,4042.25,False
2026-05-05,ST004,Delhi,SKU001,Shampoo 340ml,17,22.97,224,224,17,0,207,18.15,87.06,207,0,5593.0,False
2026-05-05,ST004,Delhi,SKU002,Bath Soap 100g,42,40.83,432,432,42,0,390,19.35,141.84,390,0,2310.0,False
2026-05-05,ST004,Delhi,SKU003,Laundry Detergent 1kg,29,31.52,368,368,29,0,339,12.9,107.46,339,0,6380.0,False
2026-05-05,ST004,Delhi,SKU004,Dishwash Liquid 500ml,37,26.38,288,288,37,0,251,12.91,92.04,251,0,4625.0,False
2026-05-05,ST004,Delhi,SKU005,Instant Coffee 100g,15,19.87,233,233,15,0,218,12.0,71.61,218,0,2775.0,False
2026-05-05,ST005,Hyderabad,SKU001,Shampoo 340ml,19,22.28,225,225,19,0,206,12.67,79.51,206,0,6251.0,False
2026-05-05,ST005,Hyderabad,SKU002,Bath Soap 100g,16,36.98,399,399,16,0,383,14.94,125.87,383,0,880.0,False
2026-05-05,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,29,28.63,336,336,29,0,307,23.65,109.55,307,0,6380.0,False
2026-05-05,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,32,26.49,287,287,32,0,255,15.56,95.03,255,0,4000.0,False
2026-05-05,ST005,Hyderabad,SKU005,Instant Coffee 100g,17,18.21,213,213,17,0,196,14.83,69.46,196,0,3145.0,False
2026-05-06,ST001,Chennai,SKU001,Shampoo 340ml,27,24.66,0,243,27,0,216,16.47,90.46,216,0,8883.0,False
2026-05-06,ST001,Chennai,SKU002,Bath Soap 100g,34,43.78,0,438,34,0,404,23.12,154.44,404,0,1870.0,False
2026-05-06,ST001,Chennai,SKU003,Laundry Detergent 1kg,21,34.52,0,313,21,0,292,20.63,124.2,292,0,4620.0,False
2026-05-06,ST001,Chennai,SKU004,Dishwash Liquid 500ml,38,28.4,0,345,38,0,307,17.01,102.21,307,0,4750.0,False
2026-05-06,ST001,Chennai,SKU005,Instant Coffee 100g,23,21.07,0,222,23,0,199,15.81,79.0,199,0,4255.0,False
2026-05-06,ST002,Bengaluru,SKU001,Shampoo 340ml,27,25.83,0,284,27,0,257,15.72,93.21,257,0,8883.0,False
2026-05-06,ST002,Bengaluru,SKU002,Bath Soap 100g,42,43.94,0,432,42,0,390,18.26,150.08,390,0,2310.0,False
2026-05-06,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,46,34.46,0,281,46,0,235,20.19,123.57,235,0,10120.0,False
2026-05-06,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,25,30.86,0,307,25,0,282,19.22,111.8,282,0,3125.0,False
2026-05-06,ST002,Bengaluru,SKU005,Instant Coffee 100g,31,22.81,0,238,31,0,207,17.06,85.49,207,0,5735.0,False
2026-05-06,ST003,Mumbai,SKU001,Shampoo 340ml,25,26.71,0,258,25,0,233,19.52,99.65,233,0,8225.0,False
2026-05-06,ST003,Mumbai,SKU002,Bath Soap 100g,45,45.64,0,428,45,0,383,17.4,154.32,383,0,2475.0,False
2026-05-06,ST003,Mumbai,SKU003,Laundry Detergent 1kg,34,36.8,0,466,34,0,432,23.35,133.74,432,0,7480.0,False
2026-05-06,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,28,32.05,0,317,28,0,289,13.55,109.7,289,0,3500.0,False
2026-05-06,ST003,Mumbai,SKU005,Instant Coffee 100g,37,29.1,0,280,37,0,243,19.15,106.44,243,0,5476.0,False
2026-05-06,ST004,Delhi,SKU001,Shampoo 340ml,16,23.48,0,207,16,0,191,18.25,88.68,191,0,5264.0,False
2026-05-06,ST004,Delhi,SKU002,Bath Soap 100g,42,38.69,0,390,42,0,348,17.69,133.77,348,0,2310.0,False
2026-05-06,ST004,Delhi,SKU003,Laundry Detergent 1kg,21,31.6,0,339,21,0,318,13.15,107.96,318,0,4620.0,False
2026-05-06,ST004,Delhi,SKU004,Dishwash Liquid 500ml,21,25.16,0,251,21,0,230,13.36,88.85,230,0,2625.0,False
2026-05-06,ST004,Delhi,SKU005,Instant Coffee 100g,19,20.91,0,218,19,0,199,12.23,74.96,199,0,3515.0,False
2026-05-06,ST005,Hyderabad,SKU001,Shampoo 340ml,21,20.16,0,206,21,0,185,12.43,72.92,185,0,6909.0,False
2026-05-06,ST005,Hyderabad,SKU002,Bath Soap 100g,35,38.42,0,383,35,0,348,19.44,134.69,348,0,1732.5,False
2026-05-06,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,27,29.08,0,307,27,0,280,23.64,110.89,280,0,5940.0,False
2026-05-06,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,24,25.27,0,255,24,0,231,15.11,90.92,231,0,3000.0,False
2026-05-06,ST005,Hyderabad,SKU005,Instant Coffee 100g,15,19.88,0,196,15,0,181,14.54,74.18,181,0,2775.0,False
2026-05-07,ST001,Chennai,SKU001,Shampoo 340ml,22,24.56,0,216,22,0,194,16.08,89.76,194,0,7238.0,False
2026-05-07,ST001,Chennai,SKU002,Bath Soap 100g,47,41.51,0,404,47,0,357,23.87,148.41,357,0,2585.0,False
2026-05-07,ST001,Chennai,SKU003,Laundry Detergent 1kg,36,35.61,0,292,36,0,256,21.89,128.72,256,0,7920.0,False
2026-05-07,ST001,Chennai,SKU004,Dishwash Liquid 500ml,34,29.75,0,307,34,0,273,17.4,106.65,273,0,4250.0,False
2026-05-07,ST001,Chennai,SKU005,Instant Coffee 100g,22,21.05,0,199,22,0,177,15.76,78.9,177,0,4070.0,False
2026-05-07,ST002,Bengaluru,SKU001,Shampoo 340ml,27,26.08,0,257,27,0,230,15.52,93.76,230,0,8883.0,False
2026-05-07,ST002,Bengaluru,SKU002,Bath Soap 100g,41,43.02,0,390,41,0,349,18.43,147.5,349,0,2255.0,False
2026-05-07,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,39,36.78,0,235,39,0,196,21.02,131.37,196,0,8580.0,False
2026-05-07,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,30,29.73,0,282,30,0,252,19.33,108.53,252,0,3750.0,False
2026-05-07,ST002,Bengaluru,SKU005,Instant Coffee 100g,28,21.58,0,207,28,0,179,17.12,81.85,179,0,5180.0,False
2026-05-07,ST003,Mumbai,SKU001,Shampoo 340ml,29,27.41,0,233,29,0,204,19.54,101.78,204,0,9541.0,False
2026-05-07,ST003,Mumbai,SKU002,Bath Soap 100g,38,45.43,0,383,38,0,345,17.14,153.44,345,0,2090.0,False
2026-05-07,ST003,Mumbai,SKU003,Laundry Detergent 1kg,28,37.28,0,432,28,0,404,22.66,134.51,404,0,6160.0,False
2026-05-07,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,30,32.5,0,289,30,0,259,13.66,111.18,259,0,3750.0,False
2026-05-07,ST003,Mumbai,SKU005,Instant Coffee 100g,29,24.3,0,243,29,0,214,19.9,92.81,214,0,5365.0,False
2026-05-07,ST004,Delhi,SKU001,Shampoo 340ml,23,24.91,0,191,23,0,168,18.7,93.42,168,0,7188.65,False
2026-05-07,ST004,Delhi,SKU002,Bath Soap 100g,49,37.74,0,348,49,0,299,17.51,130.72,299,0,2695.0,False
2026-05-07,ST004,Delhi,SKU003,Laundry Detergent 1kg,41,30.12,0,318,41,0,277,14.82,105.18,277,0,9020.0,False
2026-05-07,ST004,Delhi,SKU004,Dishwash Liquid 500ml,31,25.29,0,230,31,0,199,13.86,89.72,199,0,3875.0,False
2026-05-07,ST004,Delhi,SKU005,Instant Coffee 100g,23,19.83,0,199,23,0,176,12.1,71.59,176,0,4255.0,False
2026-05-07,ST005,Hyderabad,SKU001,Shampoo 340ml,28,20.97,0,185,28,0,157,12.43,75.34,157,0,9212.0,False
2026-05-07,ST005,Hyderabad,SKU002,Bath Soap 100g,47,35.09,0,348,47,0,301,19.48,124.76,301,0,2585.0,False
2026-05-07,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,31,30.21,0,280,31,0,249,23.72,114.37,249,0,6820.0,False
2026-05-07,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,27,26.38,0,231,27,0,204,15.17,94.3,204,0,3375.0,False
2026-05-07,ST005,Hyderabad,SKU005,Instant Coffee 100g,11,19.72,0,181,11,0,170,14.66,73.84,170,0,2035.0,False
2026-05-08,ST001,Chennai,SKU001,Shampoo 340ml,28,24.29,0,194,28,0,166,16.14,89.0,166,0,9212.0,False
2026-05-08,ST001,Chennai,SKU002,Bath Soap 100g,39,42.14,0,357,39,0,318,22.81,149.23,318,0,2145.0,False
2026-05-08,ST001,Chennai,SKU003,Laundry Detergent 1kg,32,34.3,0,256,32,0,224,21.82,124.72,224,0,7040.0,False
2026-05-08,ST001,Chennai,SKU004,Dishwash Liquid 500ml,42,29.75,0,273,42,0,231,17.38,106.63,231,0,5250.0,False
2026-05-08,ST001,Chennai,SKU005,Instant Coffee 100g,27,29.05,0,177,27,0,150,15.76,102.93,150,0,3996.0,False
2026-05-08,ST002,Bengaluru,SKU001,Shampoo 340ml,18,25.32,0,230,18,0,212,14.09,90.05,212,0,5922.0,False
2026-05-08,ST002,Bengaluru,SKU002,Bath Soap 100g,46,42.9,0,349,46,0,303,18.49,147.21,303,0,2530.0,False
2026-05-08,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,30,36.11,0,196,30,0,166,21.11,129.44,166,0,6600.0,False
2026-05-08,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,38,36.66,0,252,38,0,214,19.12,129.1,214,0,4037.5,False
2026-05-08,ST002,Bengaluru,SKU005,Instant Coffee 100g,30,24.27,0,179,30,0,149,17.17,89.97,149,0,5550.0,False
2026-05-08,ST003,Mumbai,SKU001,Shampoo 340ml,25,27.3,0,204,25,0,179,18.99,100.88,179,0,8225.0,False
2026-05-08,ST003,Mumbai,SKU002,Bath Soap 100g,54,45.81,0,345,54,0,291,17.98,155.42,291,0,2970.0,False
2026-05-08,ST003,Mumbai,SKU003,Laundry Detergent 1kg,35,38.21,0,404,35,0,369,23.13,137.75,369,0,7700.0,False
2026-05-08,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,34,31.09,0,259,34,0,225,13.68,106.95,225,0,4250.0,False
2026-05-08,ST003,Mumbai,SKU005,Instant Coffee 100g,25,25.9,0,214,25,0,189,18.93,96.64,189,0,4625.0,False
2026-05-08,ST004,Delhi,SKU001,Shampoo 340ml,22,22.43,0,168,22,0,146,18.46,85.74,146,0,7238.0,False
2026-05-08,ST004,Delhi,SKU002,Bath Soap 100g,56,37.52,0,299,56,0,243,17.97,130.52,243,0,2926.0,False
2026-05-08,ST004,Delhi,SKU003,Laundry Detergent 1kg,34,31.15,0,277,34,0,243,15.26,108.71,243,0,7480.0,False
2026-05-08,ST004,Delhi,SKU004,Dishwash Liquid 500ml,25,26.01,0,199,25,0,174,13.96,91.98,174,0,3125.0,False
2026-05-08,ST004,Delhi,SKU005,Instant Coffee 100g,26,19.65,0,176,26,0,150,12.16,71.12,150,0,4810.0,False
2026-05-08,ST005,Hyderabad,SKU001,Shampoo 340ml,17,20.88,0,157,17,0,140,12.88,75.51,140,0,5593.0,False
2026-05-08,ST005,Hyderabad,SKU002,Bath Soap 100g,42,40.83,0,301,42,0,259,19.48,141.99,259,0,1963.5,False
2026-05-08,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,36,30.98,0,249,36,0,213,23.1,116.03,213,0,7920.0,False
2026-05-08,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,27,26.54,0,204,27,0,177,14.97,94.58,177,0,3375.0,False
2026-05-08,ST005,Hyderabad,SKU005,Instant Coffee 100g,13,20.23,0,170,13,0,157,15.17,75.87,157,0,2405.0,False
2026-05-09,ST001,Chennai,SKU001,Shampoo 340ml,31,28.22,0,166,31,0,135,15.85,100.52,135,0,10199.0,False
2026-05-09,ST001,Chennai,SKU002,Bath Soap 100g,46,49.16,0,318,46,0,272,22.89,170.37,272,0,2530.0,False
2026-05-09,ST001,Chennai,SKU003,Laundry Detergent 1kg,34,38.03,0,224,34,0,190,21.8,135.9,190,0,7480.0,False
2026-05-09,ST001,Chennai,SKU004,Dishwash Liquid 500ml,29,34.39,0,231,29,0,202,18.11,121.29,202,0,3625.0,False
2026-05-09,ST001,Chennai,SKU005,Instant Coffee 100g,20,24.24,0,150,20,0,130,15.88,88.6,130,0,3700.0,False
2026-05-09,ST002,Bengaluru,SKU001,Shampoo 340ml,31,29.28,0,212,31,0,181,14.81,102.64,181,0,10199.0,False
2026-05-09,ST002,Bengaluru,SKU002,Bath Soap 100g,67,50.49,0,303,67,0,236,18.48,169.97,236,0,3685.0,False
2026-05-09,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,38,41.0,0,166,38,0,128,21.3,144.29,128,304,8360.0,False
2026-05-09,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,27,34.77,0,214,27,0,187,19.22,123.53,187,0,3375.0,False
2026-05-09,ST002,Bengaluru,SKU005,Instant Coffee 100g,22,25.45,0,149,22,0,127,16.95,93.29,127,0,4070.0,False
2026-05-09,ST003,Mumbai,SKU001,Shampoo 340ml,30,29.47,0,179,30,0,149,18.42,106.84,149,0,9870.0,False
2026-05-09,ST003,Mumbai,SKU002,Bath Soap 100g,62,51.67,0,291,62,0,229,18.23,173.26,229,0,3410.0,False
2026-05-09,ST003,Mumbai,SKU003,Laundry Detergent 1kg,45,37.83,0,369,45,0,324,22.97,136.47,324,0,9900.0,False
2026-05-09,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,39,35.63,0,225,39,0,186,13.7,120.59,186,0,4875.0,False
2026-05-09,ST003,Mumbai,SKU005,Instant Coffee 100g,25,26.91,0,189,25,0,164,18.64,99.37,164,0,4625.0,False
2026-05-09,ST004,Delhi,SKU001,Shampoo 340ml,24,30.32,0,146,24,0,122,18.38,109.33,122,0,6711.6,False
2026-05-09,ST004,Delhi,SKU002,Bath Soap 100g,36,44.12,0,243,36,0,207,19.63,152.01,207,0,1980.0,False
2026-05-09,ST004,Delhi,SKU003,Laundry Detergent 1kg,19,35.46,0,243,19,0,224,15.21,121.57,224,0,4180.0,False
2026-05-09,ST004,Delhi,SKU004,Dishwash Liquid 500ml,36,29.72,0,174,36,0,138,14.05,103.2,138,0,4500.0,False
2026-05-09,ST004,Delhi,SKU005,Instant Coffee 100g,25,27.04,0,150,25,0,125,12.43,93.55,125,0,4162.5,False
2026-05-09,ST005,Hyderabad,SKU001,Shampoo 340ml,18,24.23,0,140,18,0,122,12.88,85.56,122,0,5922.0,False
2026-05-09,ST005,Hyderabad,SKU002,Bath Soap 100g,43,41.69,0,259,43,0,216,19.48,144.55,216,0,2365.0,False
2026-05-09,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,31,39.34,0,213,31,0,182,23.1,141.12,182,0,6820.0,False
2026-05-09,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,26,30.38,0,177,26,0,151,14.52,105.64,151,0,3250.0,False
2026-05-09,ST005,Hyderabad,SKU005,Instant Coffee 100g,26,26.0,0,157,26,0,131,15.06,93.06,131,0,4088.5,False
2026-05-10,ST001,Chennai,SKU001,Shampoo 340ml,21,27.35,0,135,21,0,114,15.84,97.88,114,0,6909.0,False
